DIS_LOSS_REAL: 0.8882468939, DIS_LOSS_FAKE: 0.2255420089, TOTAL: 0.5568944513915001, GEN_LOSS_BATCH: 1.8814966679
DIS_LOSS_REAL: 1.1127700806, DIS_LOSS_FAKE: 0.1966196001, TOTAL: 0.654694840333, GEN_LOSS_BATCH: 1.9551753998
DIS_LOSS_REAL: 0.7141294479, DIS_LOSS_FAKE: 0.3118307889, TOTAL: 0.5129801184185, GEN_LOSS_BATCH: 1.4954981804
DIS_LOSS_REAL: 0.8228851557, DIS_LOSS_FAKE: 0.197005257, TOTAL: 0.509945206339, GEN_LOSS_BATCH: 1.9063695669
DIS_LOSS_REAL: 1.2325408459, DIS_LOSS_FAKE: 0.1163702756, TOTAL: 0.6744555607355001, GEN_LOSS_BATCH: 2.4201631546
DIS_LOSS_REAL: 0.8733178973, DIS_LOSS_FAKE: 0.221837312, TOTAL: 0.54757760466, GEN_LOSS_BATCH: 1.8111587763
DIS_LOSS_REAL: 1.22179842, DIS_LOSS_FAKE: 0.178981632, TOTAL: 0.700390025976, GEN_LOSS_BATCH: 2.069593668
DIS_LOSS_REAL: 1.218645215, DIS_LOSS_FAKE: 0.1093826294, TOTAL: 0.664013922217, GEN_LOSS_BATCH: 2.6601092815
DIS_LOSS_REAL: 0.9263296723, DIS_LOSS_FAKE: 0.194056958, TOTAL: 0.5601933151685, GEN_LOSS_BATCH: 2.0362977982
DIS_LOSS_REAL: 1.1300635338, DIS_LOSS_FAKE: 0.1533250213, TOTAL: 0.6416942775415, GEN_LOSS_BATCH: 2.21666646
DIS_LOSS_REAL: 1.2471690178, DIS_LOSS_FAKE: 0.1141098291, TOTAL: 0.680639423446, GEN_LOSS_BATCH: 2.4583101273
DIS_LOSS_REAL: 1.0374025106, DIS_LOSS_FAKE: 0.1846959144, TOTAL: 0.6110492125215, GEN_LOSS_BATCH: 2.0373096466
DIS_LOSS_REAL: 1.4036830664, DIS_LOSS_FAKE: 0.1029776633, TOTAL: 0.753330364834, GEN_LOSS_BATCH: 2.5526630878
DIS_LOSS_REAL: 1.3604648113, DIS_LOSS_FAKE: 0.1298639625, TOTAL: 0.7451643869125, GEN_LOSS_BATCH: 2.4407339096
DIS_LOSS_REAL: 1.8177816868, DIS_LOSS_FAKE: 0.0690971985, TOTAL: 0.9434394426414999, GEN_LOSS_BATCH: 3.1637687683
DIS_LOSS_REAL: 1.3007951975, DIS_LOSS_FAKE: 0.1657662392, TOTAL: 0.7332807183435, GEN_LOSS_BATCH: 2.0768668652
DIS_LOSS_REAL: 1.1370352507, DIS_LOSS_FAKE: 0.1651770622, TOTAL: 0.651106156432, GEN_LOSS_BATCH: 2.1543877125
DIS_LOSS_REAL: 1.1230818033, DIS_LOSS_FAKE: 0.1788276732, TOTAL: 0.650954738261, GEN_LOSS_BATCH: 2.0903689861
DIS_LOSS_REAL: 1.2203626633, DIS_LOSS_FAKE: 0.1670656502, TOTAL: 0.6937141567345, GEN_LOSS_BATCH: 2.0744111538
DIS_LOSS_REAL: 1.2875372171, DIS_LOSS_FAKE: 0.1545313448, TOTAL: 0.72103428097, GEN_LOSS_BATCH: 2.1770107746
DIS_LOSS_REAL: 1.8959839344, DIS_LOSS_FAKE: 0.0641386285, TOTAL: 0.980061281451, GEN_LOSS_BATCH: 3.0993824005
DIS_LOSS_REAL: 1.0208318233, DIS_LOSS_FAKE: 0.2053638697, TOTAL: 0.6130978465245, GEN_LOSS_BATCH: 1.9005775452
